Date received,Product,Sub-product,Issue,Sub-issue,Consumer Complaint,Company Public Response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date Sent to Company,Company Response to Consumer,Timely response?,Consumer disputed?,Complaint ID
03/12/2014,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,M&T BANK CORPORATION,MI,48382,,N/A,Referral,3/17/14,Closed with explanation,Yes,No,759217
10/01/2016,Credit reporting,,Incorrect information on credit report,Account status,I have outdated information on my credit report that I have previously disputed that has yet to be removed this information is more then seven years old and does not meet credit reporting requirements,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",AL,352XX,,Consent provided,Web,10/05/2016,Closed with explanation,Yes,No,2141773
10/17/16,Consumer Loan,Vehicle loan,Managing the loan or lease,,"I purchased a new car on XXXX XXXX. The car dealer called Citizens Bank to get a 10 day payoff on my loan, good till XXXX XXXX. The dealer sent the check the next day. When I balanced my checkbook on XXXX XXXX. I noticed that Citizens bank had taken the automatic payment out of my checking account at XXXX XXXX XXXX Bank. I called Citizens and they stated that they did not close the loan until XXXX XXXX. ( stating that they did not receive the check until XXXX. XXXX. ). I told them that I did not believe that the check took that long to arrive. XXXX told me a check was issued to me for the amount overpaid, they deducted additional interest. Today ( XXXX XXXX, ) I called Citizens Bank again and talked to a supervisor named XXXX, because on XXXX XXXX. I received a letter that the loan had been paid in full ( dated XXXX, XXXX ) but no refund check was included. XXXX stated that they hold any over payment for 10 business days after the loan was satisfied and that my check would be mailed out on Wed. the XX/XX/XXXX.. I questioned her about the delay in posting the dealer payment and she first stated that sometimes it takes 3 or 4 business days to post, then she said they did not receive the check till XXXX XXXX I again told her that I did not believe this and asked where is my money. She then stated that they hold the over payment for 10 business days. I asked her why, and she simply said that is their policy. I asked her if I would receive interest on my money and she stated no. I believe that Citizens bank is deliberately delaying the posting of payment and the return of consumer 's money to make additional interest for the bank. If this is not illegal it should be, it does hurt the consumer and is not ethical. My amount of money lost is minimal but if they are doing this on thousands of car loans a month, then the additional interest earned for them could be staggering. I still have another car loan from Citizens Bank and I am afraid when I trade that car in another year I will run into the same problem again.",,"CITIZENS FINANCIAL GROUP, INC.",PA,177XX,Older American,Consent provided,Web,10/20/16,Closed with explanation,Yes,No,2163100
06/08/2014,Credit card,,Bankruptcy,,,,AMERICAN EXPRESS COMPANY,ID,83854,Older American,N/A,Web,06/10/2014,Closed with explanation,Yes,Yes,885638
9/13/14,Debt collection,Credit card,Communication tactics,Frequent or repeated calls,,,"CITIBANK, N.A.",VA,23233,,N/A,Web,9/13/14,Closed with explanation,Yes,Yes,1027760
11/13/13,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",,,,U.S. BANCORP,MN,48322,,N/A,Phone,11/20/13,Closed with monetary relief,Yes,No,596562
6/16/15,Debt collection,Medical,Improper contact or sharing of info,Contacted employer after asked not to,,Company believes it acted appropriately as authorized by contract or law,California Accounts Service,CA,92111,,Consent not provided,Web,6/19/15,Closed with explanation,Yes,No,1422680
6/15/15,Credit reporting,,Credit reporting company's investigation,Inadequate help over the phone,"An account on my credit report has a mistaken date. I mailed in a debt validation letter to allow XXXX to correct the information. I received a letter in the mail, stating that Experian received my correspondence and found it to be "" suspicious '' and that "" I did n't write it ''. Experian 's letter is worded to imply that I am incapable of writing my own letter. I was deeply offended by this implication. 
I called Experian to figure out why my letter was so suspicious. I spoke to a representative who was incredibly unhelpful, She did not effectively answer any questions I asked of her, and she kept ignoring what I was saying regarding the offensive letter and my dispute process. I feel the representative did what she wanted to do, and I am not satisfied. It is STILL not clear to me why I received this letter. I typed this letter, I signed this letter, and I paid to mail this letter, yet Experian willfully disregarded my lawful request. 
I am disgusted with this entire situation, and I would like for my dispute to be handled appropriately, and I would like for an Experian representative to contact me and give me a real explanation for this letter.",Company chooses not to provide a public response,Experian Information Solutions Inc.,VA,224XX,,Consent provided,Web,6/15/15,Closed with explanation,Yes,No,1420702
11/13/15,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,Company believes it acted appropriately as authorized by contract or law,"Aldridge Pite, LLP",CA,93101,,N/A,Referral,12/10/2015,Closed with explanation,Yes,Yes,1654890
10/21/14,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,OCWEN LOAN SERVICING LLC,FL,32714,Older American,N/A,Web,10/21/14,Closed with explanation,Yes,No,1079567
4/14/17,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,Company believes it acted appropriately as authorized by contract or law,"Shellpoint Partners, LLC",CA,90305,,N/A,Referral,4/14/17,Closed with explanation,Yes,No,2436165
3/30/12,Student loan,Non-federal student loan,Repaying your loan,,,,Student Loan Finance Corporation,MN,55428,,N/A,Web,07/12/2012,Closed with explanation,Yes,No,42864
02/03/2016,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,This company refuses to provide me verification and validation of debt per my right under the FDCPA. I do not believe this debt is mine.,,"The CBE Group, Inc.",TX,752XX,,Consent provided,Web,02/03/2016,Closed with explanation,Yes,Yes,1772196
01/07/2015,Credit reporting,,Incorrect information on credit report,Account status,,,Experian Information Solutions Inc.,NV,89169,,N/A,Referral,1/23/15,Closed with explanation,Yes,Yes,1184859
3/15/13,Credit card,,Closing/Cancelling account,,,,FIRST NATIONAL BANK OF OMAHA,NY,11732,,N/A,Referral,3/18/13,Closed with explanation,Yes,No,357186
7/18/16,Credit reporting,,Incorrect information on credit report,Account status,,,"EQUIFAX, INC.",FL,33629,,N/A,Fax,7/19/16,Closed with explanation,Yes,No,2017178
2/17/16,Debt collection,Credit card,Improper contact or sharing of info,Talked to a third party about my debt,"This complaint is in regards to Square Two Financial. Refer to CFPB case number XXXX regarding CACH, L. L. C. Square Two Financial has utilized my entire social security number to include date of birth on the pfd document listed with this complaint. The initial complaint was with CACH, L. L. C. and not Square Two Financial. This is in breach of the following : 1. Identity Theft Assumption and Deterrence Act of XXXX 2. Privacy Act of XXXX XXXX. Social Security XXXX 4. XXXX Privacy Act-which carries a maximum XXXX fine for each calendar cap year. 
5. Breach of Title XXXX, XXXX XXXX XXXX XXXX under XXXX and XXXX The solution is to have CACH, L.L.C handle this correction and not Square Two Financial. Two Square Financial submitted the XXXX XXXX XXXX with their subscriber name on the form listed on CFPB case # XXXX they are rendered liable in this matter. In addition, there is an account number associated with this Universal Data Form and they could use that account number instead of a SSN and DOB which is against XXXX XXXX XXXX This is also includes removal of the XXXX XXXX Form off of CFPB case # XXXX listed as a pdf document attached to this case number. Square Two Financial was contacted at XXXXXXXXXXXX as of XXXX/XXXX/XXXX by e-mail in regards to this matter. In addition, all of my information is not for sale and distribution via fax, fax-scanned, copied, stored in a retrieval system, recorded, transmitted digitally or electronically without my expressed written consent. This information is protected under copyright and publishing laws of XXXX XXXX and XXXX XXXX. This information is protected under the XXXX XXXX XXXX XXXX XXXX under the freedom of speech under XXXX XXXX XXXX to include the Uniform Commercial Codes XXXX and XXXX. These rights are reserved world wide.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,SQUARETWO FINANCIAL CORPORATION,NE,693XX,,Consent provided,Web,03/04/2016,Closed with explanation,Yes,Yes,1790634
11/07/2014,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,U.S. BANCORP,MT,59801,,N/A,Web,11/07/2014,Closed with explanation,Yes,No,1107428
4/17/15,Mortgage,FHA mortgage,"Application, originator, mortgage broker",,,,WELLS FARGO & COMPANY,ME,4032,,Consent not provided,Web,4/17/15,Closed with explanation,Yes,No,1334421
03/09/2016,Credit reporting,,Incorrect information on credit report,Information is not mine,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,CA,92703,,N/A,Phone,03/09/2016,Closed with explanation,Yes,No,1823789
02/04/2015,Debt collection,Mortgage,Cont'd attempts collect debt not owed,Debt was paid,,,PHH Mortgage Services Corporation,CA,92021,,N/A,Web,02/10/2015,Closed with explanation,Yes,Yes,1224106
3/17/17,Bank account or service,Checking account,"Making/receiving payments, sending money",,,Company believes it acted appropriately as authorized by contract or law,UNITED SERVICES AUTOMOBILE ASSOCIATION,WI,54005,,N/A,Referral,3/20/17,Closed with explanation,Yes,No,2393048
03/08/2012,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,Ditech Financial LLC,CA,95361,,N/A,Web,3/23/12,Closed without relief,Yes,No,32412
3/27/13,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,NATIONSTAR MORTGAGE,WA,98203,,N/A,Web,3/27/13,Closed with explanation,Yes,No,366548
2/25/14,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,,"Navient Solutions, LLC.",RI,2906,,N/A,Web,2/24/14,Closed with explanation,Yes,Yes,730165
11/18/16,Mortgage,Conventional fixed mortgage,Settlement process and costs,,"Started the refinance of home mortgage process with cash out option on XX/XX/2016. Necessary documents were submitted by XXXX. After initial review, got good faith estimate with loan amount and closing cost. Based on this estimate, a deposit of {$350.00} was made towards appraisal. Appraisal came with lesser amount by {$5000.00}. Agreed to reduce the loan amount to that extent. However, got a revised estimate which was less by {$30000.00} and with additional closing cost towards points etc. In between got numerous revised estimates with different loan amounts and closing cost. It took more than 2 months to reach any definite closing document. Hence, want to get back the deposit of {$350.00}.",,AMERICAN NEIGHBORHOOD MORTGAGE,NJ,088XX,,Consent provided,Web,11/21/16,Closed with monetary relief,No,No,2216206
7/16/15,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",,"In XXXX, I and my ex-husband applied for a refinance & HELOC from Beneficial. The loans were granted. My ex-husband passed away XXXX XXXX. At this time I contacted a lawyer to determine my options for having my husband removed from the title to the property and mortgage. Lawyer took care of having husband removed from the title. I recently attempted to apply for refinance to remove him from the mortgage and take cash out. I learned through an attempt to refinance I was unable to refinance the property due to there is no deed from XXXX found indicating my interest in the property. The only deed filed with the XXXX County Illinois Recorder was in XXXX with the original purchase of the home in which my ex-husband was the only one listed on the deed. Beneficial did file a mortgage on XXXX, XXXX on the property. I am just outraged at this point that I took out a loan on my home, yet it was never deeded in my name as one of the rightful owners. Now I am being denied the ability to refinance at this time because I can not show that I was the rightful owner of this property prior to XXXX/XXXX/XXXX when my children quit claimed their fathers interest to me. I am just sick of this company and the way this company misleads and XXXX over customers. I am technically being forced to remain with this company because I can not secure financing with another reputable company because I have to wait anywhere from 6 - 12months to refinance, because the property I have owned for over 20 years and paying on for over 20years is considered inheritance since it was just quit claimed to me XXXX/XXXX/XXXX.",,HSBC NORTH AMERICA HOLDINGS INC.,IL,625XX,,Consent provided,Web,7/16/15,Closed with explanation,Yes,No,1472017
11/03/2015,Debt collection,Medical,Disclosure verification of debt,Right to dispute notice not received,,Company chooses not to provide a public response,Revenue Recovery Corporation,FL,34105,,N/A,Postal mail,11/04/2015,Closed with explanation,Yes,No,1637385
08/09/2016,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,"I have disputed several accounts on my credit report with Equifax several times. I first disputed with the original creditors, XXXX, XXXX XXXX, and XXXX XXXX Solutions and after 3 letters did not receive any correspondence with proof. I sent copies of the letters and certified mail receipts to the credit bureau but they continue to verify these debts without copies of any proof with my signature. A statement of dispute was also never put on my credit report. Equifax only continues to update the accounts associated with these creditors.",,"EQUIFAX, INC.",MS,390XX,,Consent provided,Web,08/09/2016,Closed with explanation,Yes,Yes,2051099
